customer_id,join_date,is_repeat,is_subscription,retention_method
C093,2024-12-24,0,0,subscription
C169,2024-11-11,0,0,none
C145,2024-11-27,0,0,none
C015,2024-12-20,1,0,discount
C111,2024-11-26,0,1,none
C310,2024-12-31,0,0,subscription
C398,2024-11-19,0,0,subscription
C671,2024-12-22,1,1,subscription
C372,2024-12-06,1,0,none
C466,2024-11-07,0,0,none
C579,2024-12-29,0,0,discount
C611,2024-12-02,0,0,none
C135,2024-11-19,1,0,subscription
C539,2024-11-08,0,0,discount
C675,2024-11-11,0,0,subscription
C503,2024-11-29,0,0,discount
C391,2024-11-16,1,0,none
C441,2024-12-28,1,1,discount
C682,2024-11-12,1,0,discount
C382,2024-11-24,0,0,discount
C624,2024-12-31,1,0,subscription
C007,2024-12-10,0,0,discount
C544,2024-12-10,0,0,none
C054,2024-12-15,0,1,discount
C425,2024-12-28,0,1,none
C540,2024-11-25,1,1,none
C262,2024-12-23,0,0,subscription
C513,2024-12-21,1,0,discount
C321,2024-11-30,1,1,discount
C176,2024-12-24,0,0,none
C537,2024-11-19,0,0,subscription
C150,2024-11-13,1,0,discount
C578,2024-11-29,0,1,none
C155,2024-12-22,1,0,none
C318,2024-12-30,0,0,discount
C514,2024-12-06,0,0,subscription
C254,2024-11-26,0,1,none
C347,2024-12-08,1,1,subscription
C259,2024-12-16,0,0,subscription
C672,2024-12-26,0,0,subscription
C131,2024-12-30,0,1,discount
C104,2024-12-26,1,1,subscription
C158,2024-11-20,0,1,none
C455,2024-12-31,1,0,subscription
C199,2024-11-05,1,0,none
C166,2024-12-17,0,1,none
C529,2024-11-29,0,1,none
C230,2024-12-09,0,1,subscription
C143,2024-11-03,0,0,subscription
C114,2024-11-06,0,1,discount
C512,2024-11-11,1,0,subscription
C247,2024-12-19,0,1,discount
C673,2024-11-28,1,0,none
C476,2024-12-16,0,0,subscription
C045,2024-12-28,1,0,subscription
C663,2024-12-04,0,0,discount
C451,2024-12-15,1,0,none
C435,2024-12-25,0,0,discount
C457,2024-12-17,0,1,discount
C630,2024-11-07,0,1,subscription
C032,2024-12-19,0,0,subscription
C393,2024-11-27,0,1,none
C543,2024-12-10,1,1,discount
C576,2024-12-02,0,0,discount
C205,2024-11-12,0,0,discount
C371,2024-11-14,0,0,discount
C420,2024-12-10,1,0,subscription
C133,2024-11-20,0,0,subscription
C355,2024-12-10,0,1,subscription
C586,2024-12-07,0,1,subscription
C416,2024-11-19,0,0,subscription
C478,2024-12-08,1,0,subscription
C255,2024-11-22,0,0,discount
C511,2024-12-20,0,0,subscription
C052,2024-11-22,1,1,subscription
C271,2024-12-16,1,0,none
C076,2024-12-04,0,1,subscription
C383,2024-11-03,0,0,none
C141,2024-12-27,1,0,subscription
C167,2024-12-15,0,1,subscription
C487,2025-01-01,1,1,none
C612,2024-12-13,0,1,none
C152,2024-12-05,1,0,none
C209,2024-12-31,1,0,subscription
C679,2024-11-23,0,0,discount
C625,2024-11-04,1,1,discount
C081,2024-11-17,0,0,subscription
C417,2024-11-11,0,1,subscription
C092,2024-12-23,0,1,discount
C181,2024-12-07,1,1,subscription
C010,2024-12-03,0,0,discount
C517,2024-11-12,0,0,discount
C346,2024-11-07,0,1,discount
C089,2024-11-18,1,1,discount
C458,2024-12-13,1,1,none
C064,2024-12-03,0,1,discount
C121,2024-11-28,1,1,subscription
C587,2024-11-30,0,1,discount
C523,2024-11-25,0,0,discount
C023,2024-11-18,1,1,subscription
C555,2024-12-11,1,0,subscription
C384,2024-12-16,1,0,subscription
C122,2024-11-20,0,0,subscription
C306,2024-11-16,0,0,subscription
C283,2024-11-24,0,0,discount
C412,2024-11-08,0,1,discount
C592,2024-12-21,0,0,subscription
C308,2024-11-22,0,0,subscription
C659,2024-12-16,1,0,discount
C491,2024-11-04,0,1,subscription
C249,2024-12-12,0,0,none
C316,2024-12-21,0,1,discount
C303,2024-12-22,0,0,subscription
C264,2024-11-15,1,1,none
C560,2024-11-29,0,0,subscription
C062,2024-11-11,0,0,discount
C018,2024-12-27,1,1,none
C670,2024-11-15,1,0,subscription
C085,2024-11-07,1,0,discount
C557,2024-11-12,0,1,discount
C079,2024-12-02,0,1,none
C335,2024-11-29,0,0,discount
C399,2024-12-24,0,1,none
C192,2024-11-14,0,0,none
C395,2024-11-11,0,1,none
C390,2024-12-19,1,1,subscription
C496,2024-11-11,1,1,discount
C312,2024-12-27,0,1,none
C649,2024-11-28,0,1,discount
C607,2025-01-01,1,0,discount
C674,2024-12-12,1,0,subscription
C534,2024-12-19,1,0,none
C024,2024-12-21,0,0,discount
C461,2024-11-15,1,1,none
C541,2024-11-02,0,0,discount
C690,2024-12-29,0,1,subscription
C569,2024-12-16,0,1,discount
C497,2024-11-28,0,1,discount
C501,2024-12-05,1,0,subscription
C413,2024-12-01,0,0,none
C470,2024-11-12,0,0,none
C275,2024-12-16,1,0,none
C208,2024-12-11,1,1,subscription
C257,2024-11-07,1,0,none
C440,2024-11-03,1,0,discount
C106,2024-12-19,1,1,subscription
C028,2024-12-12,0,0,subscription
C246,2024-12-14,0,0,subscription
C086,2024-12-21,0,0,subscription
C317,2024-12-26,0,0,discount
C356,2024-11-28,1,0,none
C031,2024-11-27,0,0,subscription
C467,2024-12-04,0,1,discount
C234,2024-11-21,1,1,discount
C638,2024-12-15,0,1,discount
C146,2024-11-04,0,0,discount
C595,2024-12-25,1,1,none
C077,2024-11-22,0,1,discount
C549,2024-11-17,0,0,none
C618,2024-12-13,0,0,none
C411,2024-11-29,0,0,none
C203,2024-11-13,0,0,subscription
C405,2024-11-29,0,1,subscription
C090,2024-12-04,0,0,discount
C392,2024-12-25,1,1,none
C364,2024-11-12,1,0,subscription
C582,2024-11-03,0,0,none
C617,2024-11-11,0,1,subscription
C332,2024-12-08,0,1,subscription
C080,2024-12-01,1,1,subscription
C396,2024-11-17,1,0,subscription
C161,2024-12-06,1,1,discount
C677,2024-12-21,0,0,subscription
C004,2024-12-31,0,0,none
C084,2024-12-27,0,0,none
C190,2024-11-09,0,0,subscription
C488,2024-11-07,0,1,subscription
C124,2024-11-27,0,1,discount
C207,2024-11-06,0,0,subscription
C570,2024-12-15,0,1,none
C116,2024-12-30,0,0,discount
C293,2024-11-02,1,0,none
C051,2024-12-10,1,0,discount
C101,2024-11-24,0,0,none
C068,2024-11-02,0,1,subscription
C060,2024-11-14,1,0,none
C353,2024-12-04,1,0,discount
C227,2024-11-09,1,0,subscription
C486,2024-11-16,0,0,subscription
C434,2024-11-19,0,0,subscription
C494,2024-11-24,1,0,discount
C193,2024-12-19,1,0,discount
C352,2024-12-31,0,0,none
C301,2024-12-26,1,0,discount
C475,2024-11-08,0,1,discount
C698,2024-11-12,1,1,discount
C147,2024-11-29,1,0,none
C005,2024-11-19,1,0,none
C330,2024-11-26,0,0,discount
C533,2024-12-29,1,0,subscription
C376,2024-12-28,0,0,none
C678,2024-11-28,0,1,none
C510,2025-01-01,1,0,subscription
C098,2024-11-09,0,0,subscription
C432,2024-11-24,0,0,discount
C107,2024-11-25,0,0,subscription
C134,2024-11-22,1,1,subscription
C508,2024-12-01,0,0,subscription
C521,2024-12-07,0,0,subscription
C340,2024-12-05,0,0,none
C003,2024-12-10,1,1,none
C505,2024-11-06,0,0,none
C221,2024-12-20,0,1,subscription
C600,2024-11-14,0,0,subscription
C206,2024-11-19,0,0,subscription
C516,2024-12-10,0,0,none
C691,2024-11-03,0,0,none
C244,2024-11-02,1,0,discount
C566,2024-11-04,1,1,subscription
C460,2024-11-23,1,0,subscription
C331,2024-12-25,1,1,discount
C326,2024-11-22,1,0,none
C095,2024-12-21,0,0,discount
C575,2024-11-21,1,0,none
C041,2024-12-30,0,0,none
C527,2024-11-08,0,0,subscription
C551,2024-11-10,0,0,none
C211,2024-12-18,0,0,subscription
C471,2024-12-18,1,0,none
C265,2024-11-02,1,1,discount
C657,2024-12-28,1,0,discount
C547,2024-11-06,0,0,discount
C012,2024-11-19,1,1,none
C313,2024-12-01,0,0,subscription
C189,2024-12-20,0,1,discount
C661,2024-12-12,0,0,none
C366,2024-11-17,0,0,discount
C337,2024-11-22,1,0,subscription
C173,2024-11-18,1,1,discount
C492,2024-12-07,1,0,none
C144,2024-12-19,1,0,subscription
C596,2024-12-03,0,0,subscription
C407,2024-12-01,1,0,subscription
C184,2024-11-23,0,0,none
C238,2024-12-04,1,1,discount
C593,2024-12-17,0,0,none
C386,2024-11-08,1,0,discount
C058,2024-11-26,1,1,none
C639,2024-11-14,1,0,discount
C380,2024-11-29,0,0,none
C008,2024-12-13,0,0,subscription
C697,2024-12-19,0,0,discount
C315,2024-11-13,0,0,none
C165,2024-11-30,0,0,none
C228,2024-11-07,0,0,discount
C200,2024-12-04,0,0,discount
C120,2024-11-19,0,0,discount
C348,2024-12-18,1,0,subscription
C295,2024-11-27,0,0,none
C588,2024-12-03,0,0,subscription
C212,2024-12-13,0,0,subscription
C629,2024-11-05,1,0,subscription
C490,2024-11-06,0,0,none
C324,2024-12-16,1,0,subscription
C277,2024-11-16,1,1,discount
C408,2024-12-03,0,1,discount
C267,2024-12-12,0,0,none
C591,2024-11-02,0,0,none
C647,2024-12-11,0,0,none
C620,2024-11-17,0,0,subscription
C554,2024-11-13,0,0,subscription
C423,2024-12-14,0,0,subscription
C548,2024-11-18,1,0,subscription
C292,2024-12-10,0,0,subscription
C633,2024-12-03,1,0,subscription
C191,2024-12-24,0,0,discount
C223,2024-12-25,0,0,subscription
C013,2024-12-21,0,0,none
C370,2024-11-23,0,1,none
C381,2024-11-18,1,0,discount
C573,2024-11-02,1,0,discount
C480,2024-12-29,0,0,none
C542,2024-12-02,0,0,none
C195,2024-12-12,0,1,subscription
C369,2024-12-14,1,0,subscription
C597,2024-11-17,0,0,discount
C495,2024-11-25,0,0,discount
C269,2024-12-12,0,0,none
C668,2024-12-15,0,1,none
C590,2024-11-13,0,0,discount
C055,2024-11-27,0,1,discount
C242,2024-11-21,0,0,none
C428,2024-11-23,1,0,discount
C149,2024-12-08,1,1,discount
C237,2024-11-09,1,0,none
C333,2024-11-11,0,0,discount
C627,2024-12-11,0,0,discount
C252,2024-11-20,0,0,discount
C299,2024-11-04,0,1,subscription
C403,2024-11-05,0,0,discount
C650,2024-12-14,1,0,subscription
C564,2024-11-24,1,1,none
C635,2024-12-14,1,0,subscription
C626,2024-12-17,0,1,subscription
C298,2024-11-29,0,0,subscription
C424,2024-11-04,0,0,none
C180,2024-12-12,0,0,subscription
C160,2024-12-29,0,0,discount
C336,2024-11-13,0,0,discount
C535,2024-12-23,0,0,subscription
C284,2024-11-18,0,0,discount
C109,2024-11-21,0,0,none
C632,2024-12-01,0,0,discount
C482,2024-11-08,0,0,discount
C619,2024-12-04,1,1,discount
C546,2024-11-24,0,0,discount
C349,2024-12-01,0,0,discount
C456,2024-11-07,1,0,discount
C151,2024-12-22,0,0,subscription
C307,2024-12-11,0,0,discount
C039,2024-11-05,1,0,discount
C525,2024-12-14,0,1,none
C640,2024-12-01,1,0,discount
C216,2024-12-25,1,0,none
C409,2024-11-08,1,0,none
C545,2024-11-23,1,0,none
C538,2024-12-15,0,1,none
C059,2024-11-15,0,0,discount
C385,2024-11-10,0,0,subscription
C224,2024-11-21,1,1,subscription
C338,2024-12-23,0,0,subscription
C646,2024-11-06,0,0,subscription
C038,2024-12-05,0,0,discount
C695,2024-11-03,1,0,subscription
C634,2024-12-31,0,0,subscription
C468,2024-12-24,0,1,discount
C162,2024-12-24,1,0,none
C427,2024-12-11,0,0,subscription
C357,2024-11-13,0,1,subscription
C447,2024-11-12,0,0,subscription
C429,2024-12-02,0,0,subscription
C585,2024-12-09,0,0,discount
C437,2024-11-26,1,0,discount
C057,2024-12-24,0,0,discount
C274,2024-11-09,0,0,discount
C469,2024-11-04,1,1,none
C415,2024-11-30,0,1,subscription
C201,2024-12-01,1,0,subscription
C148,2024-11-12,0,1,none
C278,2024-11-15,0,1,discount
C481,2024-12-04,0,0,discount
C602,2024-12-13,1,0,none
C361,2024-12-26,1,0,none
C571,2024-11-21,1,0,none
C232,2024-12-02,0,0,none
C660,2024-11-13,0,1,none
C037,2024-12-05,0,0,none
C519,2024-12-09,0,0,discount
C171,2024-11-06,0,1,subscription
C020,2024-11-16,0,0,none
C197,2024-12-02,0,0,none
C021,2024-12-22,0,1,subscription
C688,2024-12-18,1,1,discount
C309,2024-12-31,0,0,subscription
C465,2024-11-04,1,0,discount
C609,2024-12-10,1,0,subscription
C289,2024-11-22,0,0,subscription
C022,2024-12-12,0,0,discount
C483,2024-12-03,0,0,subscription
C194,2024-12-19,0,1,subscription
C042,2024-11-07,0,0,none
C127,2024-11-08,0,1,subscription
C598,2024-11-25,1,0,subscription
C368,2024-11-23,0,1,none
C693,2024-12-13,0,0,subscription
C448,2024-12-08,1,0,discount
C097,2024-12-11,1,1,subscription
C687,2024-11-30,0,0,subscription
C009,2024-12-08,0,1,discount
C637,2024-11-08,0,0,none
C499,2024-12-06,0,0,discount
C102,2024-12-31,1,0,discount
C445,2024-11-06,1,0,discount
C430,2024-11-06,0,0,none
C029,2024-12-31,1,0,none
C266,2024-11-05,0,1,none
C498,2024-12-02,1,1,none
C188,2024-11-03,0,0,subscription
C584,2024-11-23,1,0,subscription
C504,2024-12-07,1,0,none
C061,2024-12-30,1,0,subscription
C118,2024-12-23,1,1,none
C276,2024-12-25,1,0,subscription
C280,2025-01-01,0,1,subscription
C047,2024-12-28,0,1,discount
C443,2024-12-18,0,0,none
C662,2024-11-16,1,0,discount
C128,2024-12-22,1,1,subscription
C288,2024-12-31,0,1,subscription
C067,2024-12-06,1,0,none
C438,2024-12-19,0,0,discount
C006,2024-12-21,0,0,none
C256,2024-11-29,0,0,subscription
C239,2024-12-29,1,1,discount
C608,2024-11-14,0,1,subscription
C319,2024-11-16,0,0,discount
C531,2024-12-19,1,1,none
C615,2024-12-08,0,1,none
C044,2024-11-17,1,0,subscription
C406,2024-11-30,0,0,discount
C087,2024-12-10,1,0,discount
C196,2024-11-10,1,0,subscription
C378,2024-12-14,0,0,none
C628,2024-11-15,0,1,discount
C017,2024-12-29,1,0,none
C681,2024-11-21,1,1,discount
C258,2024-12-27,1,0,discount
C351,2024-11-22,1,0,subscription
C210,2024-11-24,1,1,none
C140,2024-12-03,0,0,subscription
C522,2024-12-25,1,0,none
C442,2024-12-07,0,0,subscription
C581,2024-11-04,1,0,none
C528,2024-12-20,0,0,discount
C030,2024-12-25,0,0,discount
C157,2024-11-21,1,0,discount
C402,2024-12-26,1,0,discount
C401,2024-11-26,0,0,discount
C035,2024-11-13,1,0,none
C532,2024-11-21,0,1,subscription
C281,2024-12-30,1,1,discount
C603,2024-12-23,1,0,subscription
