"order_id","customer_id","order_date","channel","product_name","qty","revenue","refund_flag","promo_used","is_subscription","shipping_cost","discount_amount","net_revenue","is_repeat","retention_method","join_date","complaint_id","issue","rating","review_text","date_traffic","source_traffic","visitors"
"O0062","C285","2025-02-23","Website","BerryBoost","2","70000","0","FreeOngkir","1","10000","0.0","70000.0","0","none","2024-12-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0063","C666","2025-01-09","GrabFood","TropicalCleanse","1","35000","0","FreeOngkir","0","10000","0.0","35000.0","0","none","2024-11-09",NULL,NULL,"5","Enak dan segar!",NULL,NULL,NULL
"O0064","C245","2025-01-17","GoFood","BerryBoost","3","105000","0","FreeOngkir","0","5000","0.0","105000.0","0","subscription","2024-12-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0065","C168","2025-02-09","Website","BerryBoost","2","90000","0","FreeTrial","0","10000","0.0","90000.0","1","discount","2024-11-06",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0066","C078","2025-03-17","GoFood","TropicalCleanse","1","35000","0","Diskon10%","0","5000","3500.0","31500.0","0","none","2024-12-18",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0067","C580","2025-01-06","Website","GreenJuice","3","120000","0","Diskon20%","0","20000","24000.0","96000.0","0","discount","2024-12-18",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0068","C502","2025-01-14","GoFood","GreenJuice","3","120000","0","Diskon10%","1","15000","12000.0","108000.0","1","none","2024-12-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0069","C631","2025-03-10","GrabFood","GreenJuice","2","90000","0","Diskon10%","0","5000","9000.0","81000.0","1","none","2024-11-24",NULL,NULL,"3","Kemasan oke",NULL,NULL,NULL
"O0070","C286","2025-02-27","Website","GreenJuice","3","135000","0","Diskon10%","0","15000","13500.0","121500.0","1","none","2024-11-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0071","C187","2025-03-04","Website","GreenJuice","2","80000","0","-","0","5000","0.0","80000.0","1","discount","2024-11-09",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0072","C530","2025-01-25","Website","TropicalCleanse","2","80000","0","FreeOngkir","0","20000","0.0","80000.0","1","discount","2024-11-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0073","C459","2025-01-03","Website","BerryBoost","2","90000","0","-","0","15000","0.0","90000.0","1","subscription","2024-12-05",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0074","C436","2025-03-12","Website","TropicalCleanse","2","80000","0","FreeOngkir","1","15000","0.0","80000.0","0","none","2024-11-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0075","C123","2025-03-10","Gym","TropicalCleanse","1","35000","0","Diskon10%","1","15000","3500.0","31500.0","0","none","2024-12-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0076","C103","2025-01-25","Website","GreenJuice","1","40000","0","Diskon20%","0","5000","8000.0","32000.0","0","subscription","2024-11-12",NULL,NULL,"5","Sesuai deskripsi",NULL,NULL,NULL
"O0077","C567","2025-02-07","GoFood","BerryBoost","3","120000","0","FreeOngkir","0","20000","0.0","120000.0","1","subscription","2024-11-17",NULL,NULL,"1","Sesuai deskripsi",NULL,NULL,NULL
"O0078","C452","2025-02-13","Website","BerryBoost","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","none","2024-11-20",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0079","C156","2025-01-20","GrabFood","GreenJuice","1","35000","0","-","0","10000","0.0","35000.0","1","none","2024-11-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0080","C536","2025-02-18","GoFood","GreenJuice","2","90000","1","Diskon10%","0","5000","9000.0","81000.0","1","subscription","2024-12-06",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0081","C213","2025-03-22","Website","TropicalCleanse","1","35000","0","Diskon20%","0","20000","7000.0","28000.0","1","discount","2024-11-30",NULL,NULL,"5","Seger pol!",NULL,NULL,NULL
"O0082","C462","2025-03-30","GoFood","GreenJuice","1","35000","0","FreeOngkir","1","5000","0.0","35000.0","1","subscription","2024-11-27",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0083","C240","2025-02-03","GrabFood","TropicalCleanse","3","135000","0","FreeOngkir","0","10000","0.0","135000.0","0","subscription","2024-11-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0084","C664","2025-01-20","Gym","BerryBoost","1","35000","0","Diskon10%","1","15000","3500.0","31500.0","1","none","2024-12-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0085","C450","2025-01-16","GoFood","GreenJuice","3","120000","0","Diskon20%","0","5000","24000.0","96000.0","1","subscription","2024-12-17",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0086","C613","2025-01-06","GrabFood","TropicalCleanse","2","90000","0","FreeOngkir","1","5000","0.0","90000.0","1","subscription","2024-11-20","CMP0011",NULL,NULL,NULL,NULL,NULL,NULL
"O0087","C689","2025-02-04","GoFood","BerryBoost","2","90000","0","FreeTrial","0","20000","0.0","90000.0","0","subscription","2024-11-16",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0088","C651","2025-03-04","Gym","GreenJuice","2","80000","0","-","1","15000","0.0","80000.0","0","subscription","2024-12-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0089","C422","2025-03-30","GoFood","TropicalCleanse","2","90000","0","FreeOngkir","0","5000","0.0","90000.0","1","subscription","2024-11-19",NULL,NULL,"4","Sesuai deskripsi",NULL,NULL,NULL
"O0090","C414","2025-03-07","GrabFood","BerryBoost","3","135000","0","FreeOngkir","0","20000","0.0","135000.0","0","none","2024-12-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0091","C641","2025-02-26","GrabFood","BerryBoost","2","90000","0","FreeOngkir","1","20000","0.0","90000.0","1","subscription","2024-11-02",NULL,NULL,"5","Puas banget!",NULL,NULL,NULL
"O0092","C125","2025-01-04","Gym","TropicalCleanse","1","45000","0","Diskon20%","0","5000","9000.0","36000.0","1","discount","2024-11-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0093","C231","2025-01-15","GoFood","BerryBoost","3","105000","0","-","0","15000","0.0","105000.0","1","discount","2024-11-07",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0094","C426","2025-03-03","Gym","BerryBoost","2","90000","0","FreeOngkir","0","10000","0.0","90000.0","0","none","2024-11-25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0095","C072","2025-02-05","GrabFood","GreenJuice","2","90000","0","FreeOngkir","1","20000","0.0","90000.0","0","discount","2024-12-18",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0096","C153","2025-02-27","GoFood","GreenJuice","2","90000","0","Diskon10%","1","10000","9000.0","81000.0","1","subscription","2024-11-22",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0097","C245","2025-03-15","Website","GreenJuice","1","40000","0","-","1","20000","0.0","40000.0","0","subscription","2024-12-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0098","C680","2025-03-25","Gym","GreenJuice","1","35000","0","Diskon20%","1","20000","7000.0","28000.0","0","discount","2024-12-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0099","C103","2025-03-09","Gym","BerryBoost","3","105000","0","-","0","20000","0.0","105000.0","0","subscription","2024-11-12",NULL,NULL,"3","Terlambat datang",NULL,NULL,NULL
"O0100","C272","2025-02-13","GoFood","GreenJuice","3","105000","0","-","1","20000","0.0","105000.0","0","none","2024-11-13","CMP0030",NULL,NULL,NULL,NULL,NULL,NULL
"O0101","C325","2025-03-22","GrabFood","GreenJuice","3","105000","0","FreeOngkir","0","15000","0.0","105000.0","1","subscription","2024-12-27",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0102","C233","2025-01-12","GoFood","BerryBoost","3","135000","0","Diskon10%","0","5000","13500.0","121500.0","1","none","2024-12-18",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0103","C048","2025-02-11","GrabFood","GreenJuice","2","80000","0","FreeOngkir","0","10000","0.0","80000.0","1","none","2024-11-18",NULL,NULL,"5","Seger pol!",NULL,NULL,NULL
"O0104","C175","2025-01-23","Website","GreenJuice","3","135000","0","FreeTrial","0","20000","0.0","135000.0","1","discount","2024-11-15",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0105","C654","2025-02-02","GoFood","TropicalCleanse","1","40000","0","-","0","20000","0.0","40000.0","0","discount","2024-11-15",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0106","C354","2025-03-17","Website","GreenJuice","3","120000","0","Diskon10%","1","20000","12000.0","108000.0","0","discount","2024-11-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0107","C110","2025-01-31","Website","GreenJuice","3","120000","1","FreeOngkir","1","20000","0.0","120000.0","0","discount","2024-11-25",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0108","C282","2025-01-02","GoFood","TropicalCleanse","3","105000","0","-","1","15000","0.0","105000.0","0","subscription","2024-11-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0109","C236","2025-03-19","GrabFood","BerryBoost","3","105000","0","-","1","10000","0.0","105000.0","0","subscription","2024-11-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0110","C644","2025-01-13","Gym","TropicalCleanse","1","40000","0","FreeOngkir","0","10000","0.0","40000.0","0","subscription","2024-12-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0111","C093","2025-02-07","Website","GreenJuice","1","35000","0","Diskon20%","1","15000","7000.0","28000.0","0","subscription","2024-12-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0112","C169","2025-02-02","Gym","GreenJuice","2","90000","0","-","0","5000","0.0","90000.0","0","none","2024-11-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0113","C145","2025-01-29","GrabFood","TropicalCleanse","3","120000","1","-","0","20000","0.0","120000.0","0","none","2024-11-27",NULL,NULL,"5","Enak dan segar!",NULL,NULL,NULL
"O0114","C015","2025-02-03","GoFood","GreenJuice","2","90000","0","FreeOngkir","0","15000","0.0","90000.0","1","discount","2024-12-20",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0115","C111","2025-03-28","Website","BerryBoost","3","135000","0","Diskon20%","0","20000","27000.0","108000.0","0","none","2024-11-26",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0116","C310","2025-03-25","GoFood","BerryBoost","1","35000","0","Diskon10%","0","10000","3500.0","31500.0","0","subscription","2024-12-31",NULL,NULL,"5","Kurang manis",NULL,NULL,NULL
"O0117","C398","2025-02-28","Website","TropicalCleanse","3","135000","0","-","0","20000","0.0","135000.0","0","subscription","2024-11-19",NULL,NULL,"2","Rekomended!",NULL,NULL,NULL
"O0118","C671","2025-01-13","GrabFood","TropicalCleanse","2","80000","0","Diskon10%","0","10000","8000.0","72000.0","1","subscription","2024-12-22",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0119","C372","2025-01-13","Gym","GreenJuice","3","135000","0","Diskon10%","0","5000","13500.0","121500.0","1","none","2024-12-06",NULL,NULL,"4","Puas banget!",NULL,NULL,NULL
"O0120","C466","2025-01-12","GoFood","TropicalCleanse","3","135000","1","FreeOngkir","0","10000","0.0","135000.0","0","none","2024-11-07",NULL,NULL,"3","Kurang manis",NULL,NULL,NULL
"O0121","C579","2025-01-27","Website","TropicalCleanse","1","45000","0","-","0","10000","0.0","45000.0","0","discount","2024-12-29",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0122","C611","2025-01-01","Website","BerryBoost","1","45000","0","FreeOngkir","0","5000","0.0","45000.0","0","none","2024-12-02",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0123","C135","2025-01-02","Website","BerryBoost","3","120000","0","FreeOngkir","0","20000","0.0","120000.0","1","subscription","2024-11-19",NULL,NULL,"4","Rekomended!",NULL,NULL,NULL
"O0124","C539","2025-01-15","GrabFood","GreenJuice","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","discount","2024-11-08",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0125","C675","2025-03-08","Website","TropicalCleanse","1","35000","1","-","0","5000","0.0","35000.0","0","subscription","2024-11-11",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0126","C503","2025-02-26","Website","BerryBoost","2","90000","0","FreeOngkir","0","15000","0.0","90000.0","0","discount","2024-11-29",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0127","C391","2025-03-18","GoFood","GreenJuice","3","135000","0","-","0","10000","0.0","135000.0","1","none","2024-11-16",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0128","C441","2025-02-27","GrabFood","GreenJuice","2","80000","0","-","0","15000","0.0","80000.0","1","discount","2024-12-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0129","C682","2025-02-02","Website","BerryBoost","3","120000","0","-","0","5000","0.0","120000.0","1","discount","2024-11-12",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0130","C382","2025-01-17","GoFood","TropicalCleanse","3","135000","0","FreeOngkir","0","20000","0.0","135000.0","0","discount","2024-11-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0131","C053","2025-02-06","GoFood","GreenJuice","1","45000","0","FreeOngkir","0","5000","0.0","45000.0","1","discount","2024-12-04",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0132","C359","2025-03-13","Website","GreenJuice","3","105000","0","-","1","5000","0.0","105000.0","0","subscription","2024-12-11",NULL,NULL,"1","Kurang manis",NULL,NULL,NULL
"O0133","C624","2025-03-26","GrabFood","GreenJuice","1","35000","0","-","1","15000","0.0","35000.0","1","subscription","2024-12-31",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0134","C007","2025-01-24","GrabFood","TropicalCleanse","3","120000","0","-","1","5000","0.0","120000.0","0","discount","2024-12-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0135","C544","2025-01-28","Website","GreenJuice","2","70000","0","-","1","5000","0.0","70000.0","0","none","2024-12-10",NULL,NULL,"3","Seger pol!",NULL,NULL,NULL
"O0136","C054","2025-01-20","Website","TropicalCleanse","1","45000","0","Diskon10%","0","20000","4500.0","40500.0","0","discount","2024-12-15",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0137","C425","2025-02-04","Website","TropicalCleanse","1","40000","0","FreeOngkir","0","20000","0.0","40000.0","0","none","2024-12-28",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0138","C540","2025-03-27","Website","BerryBoost","2","90000","0","FreeOngkir","1","10000","0.0","90000.0","1","none","2024-11-25","CMP0001",NULL,NULL,NULL,NULL,NULL,NULL
"O0139","C262","2025-02-07","Website","BerryBoost","2","90000","0","FreeOngkir","0","10000","0.0","90000.0","0","subscription","2024-12-23",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0140","C513","2025-03-13","GrabFood","GreenJuice","1","40000","0","FreeOngkir","0","5000","0.0","40000.0","1","discount","2024-12-21",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0141","C321","2025-03-15","GoFood","GreenJuice","3","135000","0","FreeOngkir","0","15000","0.0","135000.0","1","discount","2024-11-30",NULL,NULL,"1","Enak dan segar!",NULL,NULL,NULL
"O0142","C176","2025-03-21","GoFood","TropicalCleanse","2","70000","0","FreeOngkir","0","20000","0.0","70000.0","0","none","2024-12-24",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0143","C537","2025-01-11","Website","GreenJuice","3","120000","0","-","0","5000","0.0","120000.0","0","subscription","2024-11-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0144","C544","2025-03-07","Website","GreenJuice","2","90000","1","Diskon20%","0","5000","18000.0","72000.0","0","none","2024-12-10",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"O0145","C150","2025-02-02","Website","TropicalCleanse","1","45000","0","FreeTrial","0","20000","0.0","45000.0","1","discount","2024-11-13",NULL,NULL,NULL,NULL,NULL,NULL,NULL
