"order_id","customer_id","channel","product_name","qty","revenue","refund_flag","promo_used","is_subscription","shipping_cost","discount_amount","net_revenue","is_repeat","retention_method","join_date","complaint_id","issue","rating","review_text","source_traffic","visitors","traffic_date","order_date"
"O0012","C113","GoFood","TropicalCleanse","2","90000","0","Diskon10%","1","15000","9000.0","81000.0","0","none","2024-11-12",NULL,NULL,NULL,NULL,"Email Camp","79","2025-01-03","2025-01-20"
"O0013","C567","GoFood","BerryBoost","3","135000","0","Tidak","0","15000","0.0","135000.0","1","subscription","2024-11-17",NULL,NULL,NULL,NULL,"IG Ads","463","2025-01-04","2025-01-02"
"O0014","C446","GoFood","TropicalCleanse","3","120000","1","Tidak","0","5000","0.0","120000.0","0","subscription","2024-11-20",NULL,NULL,NULL,NULL,"GoFood","105","2025-01-04","2025-01-21"
"O0015","C641","GrabFood","TropicalCleanse","3","105000","0","Tidak","0","5000","0.0","105000.0","1","subscription","2024-11-02",NULL,NULL,NULL,NULL,"Google Sea","333","2025-01-04","2025-02-08"
"O0016","C614","GoFood","BerryBoost","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","none","2024-12-31",NULL,NULL,NULL,NULL,"Email Camp","248","2025-01-04","2025-02-11"
"O0017","C088","GrabFood","TropicalCleanse","1","35000","0","FreeTrial","0","20000","0.0","35000.0","1","discount","2024-12-04",NULL,NULL,NULL,NULL,"IG Ads","419","2025-01-05","2025-03-04"
"O0018","C217","GrabFood","TropicalCleanse","1","45000","0","FreeTrial","0","20000","0.0","45000.0","1","discount","2024-12-29",NULL,NULL,NULL,NULL,"GoFood","397","2025-01-05","2025-03-11"
"O0019","C530","Website","BerryBoost","1","40000","0","Diskon20%","0","5000","8000.0","32000.0","1","discount","2024-11-02",NULL,NULL,NULL,NULL,"Google Sea","197","2025-01-05","2025-02-27"
"O0020","C073","Website","BerryBoost","1","40000","0","FreeOngkir","0","10000","0.0","40000.0","0","subscription","2024-11-08",NULL,NULL,NULL,NULL,"Email Camp","489","2025-01-05","2025-03-22"
"O0021","C553","GrabFood","TropicalCleanse","3","120000","0","Diskon10%","0","5000","12000.0","108000.0","0","discount","2024-11-27",NULL,NULL,NULL,NULL,"IG Ads","323","2025-01-06","2025-01-17"
"O0022","C100","GoFood","GreenJuice","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","subscription","2024-11-14",NULL,NULL,NULL,NULL,"GoFood","287","2025-01-06","2025-03-26"
"O0023","C063","GrabFood","BerryBoost","1","35000","0","Diskon10%","0","15000","3500.0","31500.0","0","subscription","2024-11-28",NULL,NULL,NULL,NULL,"Google Sea","267","2025-01-06","2025-02-21"
"O0024","C474","GrabFood","BerryBoost","2","90000","0","Tidak","0","5000","0.0","90000.0","1","subscription","2024-12-15",NULL,NULL,NULL,NULL,"Email Camp","343","2025-01-06","2025-02-01"
"O0025","C096","Website","GreenJuice","2","70000","0","FreeTrial","0","5000","0.0","70000.0","1","discount","2024-12-21",NULL,NULL,NULL,NULL,"IG Ads","418","2025-01-07","2025-01-31"
"O0026","C400","Gym","GreenJuice","2","80000","0","Tidak","1","20000","0.0","80000.0","0","subscription","2024-11-25",NULL,NULL,NULL,NULL,"GoFood","340","2025-01-07","2025-02-03"
"O0027","C159","Website","BerryBoost","3","135000","0","Tidak","0","20000","0.0","135000.0","1","discount","2024-12-06",NULL,NULL,NULL,NULL,"Google Sea","443","2025-01-07","2025-01-25"
"O0028","C515","Website","TropicalCleanse","1","35000","0","FreeOngkir","1","20000","0.0","35000.0","1","discount","2024-12-14",NULL,NULL,NULL,NULL,"Email Camp","315","2025-01-07","2025-03-09"
"O0029","C123","Website","TropicalCleanse","1","45000","0","Tidak","0","15000","0.0","45000.0","0","none","2024-12-19",NULL,NULL,NULL,NULL,"IG Ads","183","2025-01-08","2025-03-14"
"O0030","C268","GoFood","GreenJuice","1","40000","0","Tidak","0","15000","0.0","40000.0","0","subscription","2024-11-14",NULL,NULL,"5","Puas banget!","GoFood","133","2025-01-08","2025-01-27"
"O0031","C075","GoFood","TropicalCleanse","1","35000","0","Diskon20%","0","15000","7000.0","28000.0","0","subscription","2024-11-27",NULL,NULL,NULL,NULL,"Google Sea","245","2025-01-08","2025-01-02"
"O0032","C071","Website","BerryBoost","2","90000","0","Diskon20%","1","5000","18000.0","72000.0","1","none","2024-11-12",NULL,NULL,NULL,NULL,"Email Camp","289","2025-01-08","2025-02-01"
"O0033","C684","Website","TropicalCleanse","1","35000","0","Tidak","1","10000","0.0","35000.0","0","discount","2024-11-19",NULL,NULL,NULL,NULL,"IG Ads","431","2025-01-09","2025-03-12"
"O0034","C279","GoFood","TropicalCleanse","2","70000","0","Tidak","0","15000","0.0","70000.0","1","discount","2024-12-23",NULL,NULL,NULL,NULL,"GoFood","171","2025-01-09","2025-02-06"
"O0035","C053","GoFood","GreenJuice","1","35000","0","FreeOngkir","1","10000","0.0","35000.0","1","discount","2024-12-04",NULL,NULL,NULL,NULL,"Google Sea","117","2025-01-09","2025-01-12"
"O0036","C453","GrabFood","TropicalCleanse","1","35000","0","Tidak","1","5000","0.0","35000.0","0","subscription","2024-11-10",NULL,NULL,NULL,NULL,"Email Camp","57","2025-01-09","2025-03-12"
"O0037","C379","GoFood","GreenJuice","1","35000","0","Tidak","1","5000","0.0","35000.0","0","none","2024-11-10",NULL,NULL,"5","Kurang manis","IG Ads","193","2025-01-10","2025-03-16"
"O0038","C367","GoFood","TropicalCleanse","1","40000","0","Tidak","0","10000","0.0","40000.0","0","discount","2024-11-17",NULL,NULL,NULL,NULL,"GoFood","459","2025-01-10","2025-01-27"
"O0039","C243","Gym","BerryBoost","2","70000","0","FreeTrial","1","20000","0.0","70000.0","1","discount","2024-12-10",NULL,NULL,NULL,NULL,"Google Sea","399","2025-01-10","2025-01-21"
"O0040","C686","Website","TropicalCleanse","1","40000","0","Tidak","0","20000","0.0","40000.0","0","subscription","2024-11-20",NULL,NULL,"5","Terlambat datang","Email Camp","190","2025-01-10","2025-02-01"
"O0041","C359","GrabFood","BerryBoost","1","35000","0","Diskon10%","0","5000","3500.0","31500.0","0","subscription","2024-12-11",NULL,NULL,NULL,NULL,"IG Ads","93","2025-01-11","2025-02-09"
"O0042","C286","GoFood","GreenJuice","3","135000","0","FreeOngkir","1","15000","0.0","135000.0","1","none","2024-11-19",NULL,NULL,NULL,NULL,"GoFood","177","2025-01-11","2025-02-14"
"O0043","C183","Gym","GreenJuice","1","35000","0","Diskon10%","1","20000","3500.0","31500.0","1","discount","2024-11-17",NULL,NULL,NULL,NULL,"Google Sea","444","2025-01-11","2025-03-16"
"O0044","C621","Website","TropicalCleanse","1","40000","0","Diskon10%","0","10000","4000.0","36000.0","1","none","2024-12-17",NULL,NULL,NULL,NULL,"Email Camp","327","2025-01-11","2025-03-07"
"O0045","C373","Website","TropicalCleanse","2","90000","0","Tidak","1","15000","0.0","90000.0","1","none","2024-12-04",NULL,NULL,NULL,NULL,"IG Ads","201","2025-01-12","2025-02-25"
"O0046","C520","GoFood","GreenJuice","2","90000","0","FreeOngkir","0","20000","0.0","90000.0","1","subscription","2024-12-12",NULL,NULL,NULL,NULL,"GoFood","222","2025-01-12","2025-02-09"
"O0047","C694","GoFood","GreenJuice","2","90000","0","Diskon10%","0","15000","9000.0","81000.0","0","subscription","2024-11-27",NULL,NULL,"4","Enak dan segar!","Google Sea","342","2025-01-12","2025-01-23"
"O0048","C477","GoFood","BerryBoost","3","120000","0","FreeTrial","1","5000","0.0","120000.0","0","subscription","2024-11-29",NULL,NULL,NULL,NULL,"Email Camp","252","2025-01-12","2025-02-26"
"O0049","C291","GoFood","TropicalCleanse","2","70000","0","Tidak","0","10000","0.0","70000.0","0","none","2024-11-26",NULL,NULL,NULL,NULL,"IG Ads","69","2025-01-13","2025-03-07"
"O0050","C204","Website","BerryBoost","2","90000","0","FreeOngkir","0","10000","0.0","90000.0","0","subscription","2024-11-16","CMP0035","Produk rusak",NULL,NULL,"GoFood","365","2025-01-13","2025-01-19"
"O0051","C394","Website","BerryBoost","3","135000","0","Tidak","1","5000","0.0","135000.0","0","subscription","2024-12-04",NULL,NULL,NULL,NULL,"Google Sea","190","2025-01-13","2025-03-05"
"O0052","C436","Website","TropicalCleanse","3","120000","0","FreeOngkir","1","20000","0.0","120000.0","0","none","2024-11-19",NULL,NULL,NULL,NULL,"Email Camp","235","2025-01-13","2025-01-29"
"O0053","C137","GoFood","TropicalCleanse","3","120000","1","Tidak","0","20000","0.0","120000.0","0","subscription","2024-11-28",NULL,NULL,NULL,NULL,"IG Ads","187","2025-01-14","2025-03-01"
"O0054","C562","GrabFood","TropicalCleanse","2","80000","0","FreeOngkir","0","20000","0.0","80000.0","0","discount","2024-11-04",NULL,NULL,NULL,NULL,"GoFood","387","2025-01-14","2025-02-27"
"O0055","C642","Website","BerryBoost","3","120000","0","Diskon10%","1","5000","12000.0","108000.0","0","none","2024-11-15",NULL,NULL,NULL,NULL,"Google Sea","178","2025-01-14","2025-01-31"
"O0056","C142","Website","TropicalCleanse","1","45000","0","Diskon10%","0","20000","4500.0","40500.0","0","discount","2024-11-08",NULL,NULL,"3","Sesuai deskripsi","Email Camp","450","2025-01-14","2025-01-20"
"O0057","C426","Website","GreenJuice","2","90000","0","FreeOngkir","1","20000","0.0","90000.0","0","none","2024-11-25",NULL,NULL,NULL,NULL,"IG Ads","384","2025-01-15","2025-01-08"
"O0058","C489","Gym","GreenJuice","2","80000","0","Tidak","1","10000","0.0","80000.0","1","subscription","2024-11-02",NULL,NULL,NULL,NULL,"GoFood","464","2025-01-15","2025-01-01"
"O0059","C500","Website","GreenJuice","1","40000","0","Tidak","0","10000","0.0","40000.0","0","none","2024-11-23",NULL,NULL,NULL,NULL,"Google Sea","445","2025-01-15","2025-01-29"
"O0060","C479","Gym","TropicalCleanse","1","40000","0","Tidak","0","20000","0.0","40000.0","0","subscription","2024-12-21",NULL,NULL,NULL,NULL,"Email Camp","361","2025-01-15","2025-01-17"
"O0061","C139","Website","GreenJuice","2","80000","0","Diskon10%","1","20000","8000.0","72000.0","0","subscription","2024-12-13",NULL,NULL,NULL,NULL,"IG Ads","56","2025-01-16","2025-03-01"
"O0062","C285","Website","BerryBoost","2","70000","0","FreeOngkir","1","10000","0.0","70000.0","0","none","2024-12-28",NULL,NULL,NULL,NULL,"GoFood","113","2025-01-16","2025-02-23"
"O0063","C666","GrabFood","TropicalCleanse","1","35000","0","FreeOngkir","0","10000","0.0","35000.0","0","none","2024-11-09",NULL,NULL,"5","Enak dan segar!","Google Sea","207","2025-01-16","2025-01-09"
"O0064","C245","GoFood","BerryBoost","3","105000","0","FreeOngkir","0","5000","0.0","105000.0","0","subscription","2024-12-24",NULL,NULL,NULL,NULL,"Email Camp","341","2025-01-16","2025-01-17"
"O0065","C168","Website","BerryBoost","2","90000","0","FreeTrial","0","10000","0.0","90000.0","1","discount","2024-11-06",NULL,NULL,NULL,NULL,"IG Ads","388","2025-01-17","2025-02-09"
"O0066","C078","GoFood","TropicalCleanse","1","35000","0","Diskon10%","0","5000","3500.0","31500.0","0","none","2024-12-18",NULL,NULL,NULL,NULL,"GoFood","214","2025-01-17","2025-03-17"
"O0067","C580","Website","GreenJuice","3","120000","0","Diskon20%","0","20000","24000.0","96000.0","0","discount","2024-12-18",NULL,NULL,NULL,NULL,"Google Sea","478","2025-01-17","2025-01-06"
"O0068","C502","GoFood","GreenJuice","3","120000","0","Diskon10%","1","15000","12000.0","108000.0","1","none","2024-12-07",NULL,NULL,NULL,NULL,"Email Camp","185","2025-01-17","2025-01-14"
"O0069","C631","GrabFood","GreenJuice","2","90000","0","Diskon10%","0","5000","9000.0","81000.0","1","none","2024-11-24",NULL,NULL,"3","Kemasan oke","IG Ads","483","2025-01-18","2025-03-10"
"O0070","C286","Website","GreenJuice","3","135000","0","Diskon10%","0","15000","13500.0","121500.0","1","none","2024-11-19",NULL,NULL,NULL,NULL,"GoFood","141","2025-01-18","2025-02-27"
"O0071","C187","Website","GreenJuice","2","80000","0","Tidak","0","5000","0.0","80000.0","1","discount","2024-11-09",NULL,NULL,NULL,NULL,"Google Sea","277","2025-01-18","2025-03-04"
"O0072","C530","Website","TropicalCleanse","2","80000","0","FreeOngkir","0","20000","0.0","80000.0","1","discount","2024-11-02",NULL,NULL,NULL,NULL,"Email Camp","286","2025-01-18","2025-01-25"
"O0073","C459","Website","BerryBoost","2","90000","0","Tidak","0","15000","0.0","90000.0","1","subscription","2024-12-05",NULL,NULL,NULL,NULL,"IG Ads","58","2025-01-19","2025-01-03"
"O0074","C436","Website","TropicalCleanse","2","80000","0","FreeOngkir","1","15000","0.0","80000.0","0","none","2024-11-19",NULL,NULL,NULL,NULL,"GoFood","275","2025-01-19","2025-03-12"
"O0075","C123","Gym","TropicalCleanse","1","35000","0","Diskon10%","1","15000","3500.0","31500.0","0","none","2024-12-19",NULL,NULL,NULL,NULL,"Google Sea","54","2025-01-19","2025-03-10"
"O0076","C103","Website","GreenJuice","1","40000","0","Diskon20%","0","5000","8000.0","32000.0","0","subscription","2024-11-12",NULL,NULL,"5","Sesuai deskripsi","Email Camp","288","2025-01-19","2025-01-25"
"O0077","C567","GoFood","BerryBoost","3","120000","0","FreeOngkir","0","20000","0.0","120000.0","1","subscription","2024-11-17",NULL,NULL,"1","Sesuai deskripsi","IG Ads","68","2025-01-20","2025-02-07"
"O0078","C452","Website","BerryBoost","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","none","2024-11-20",NULL,NULL,NULL,NULL,"GoFood","233","2025-01-20","2025-02-13"
"O0079","C156","GrabFood","GreenJuice","1","35000","0","Tidak","0","10000","0.0","35000.0","1","none","2024-11-14",NULL,NULL,NULL,NULL,"Google Sea","295","2025-01-20","2025-01-20"
"O0080","C536","GoFood","GreenJuice","2","90000","1","Diskon10%","0","5000","9000.0","81000.0","1","subscription","2024-12-06",NULL,NULL,NULL,NULL,"Email Camp","376","2025-01-20","2025-02-18"
"O0081","C213","Website","TropicalCleanse","1","35000","0","Diskon20%","0","20000","7000.0","28000.0","1","discount","2024-11-30",NULL,NULL,"5","Seger pol!","IG Ads","482","2025-01-21","2025-03-22"
"O0082","C462","GoFood","GreenJuice","1","35000","0","FreeOngkir","1","5000","0.0","35000.0","1","subscription","2024-11-27",NULL,NULL,NULL,NULL,"GoFood","334","2025-01-21","2025-03-30"
"O0083","C240","GrabFood","TropicalCleanse","3","135000","0","FreeOngkir","0","10000","0.0","135000.0","0","subscription","2024-11-12",NULL,NULL,NULL,NULL,"Google Sea","161","2025-01-21","2025-02-03"
"O0084","C664","Gym","BerryBoost","1","35000","0","Diskon10%","1","15000","3500.0","31500.0","1","none","2024-12-28",NULL,NULL,NULL,NULL,"Email Camp","259","2025-01-21","2025-01-20"
"O0085","C450","GoFood","GreenJuice","3","120000","0","Diskon20%","0","5000","24000.0","96000.0","1","subscription","2024-12-17",NULL,NULL,NULL,NULL,"IG Ads","79","2025-01-22","2025-01-16"
"O0086","C613","GrabFood","TropicalCleanse","2","90000","0","FreeOngkir","1","5000","0.0","90000.0","1","subscription","2024-11-20","CMP0011","Salah pesanan",NULL,NULL,"GoFood","346","2025-01-22","2025-01-06"
"O0087","C689","GoFood","BerryBoost","2","90000","0","FreeTrial","0","20000","0.0","90000.0","0","subscription","2024-11-16",NULL,NULL,NULL,NULL,"Google Sea","90","2025-01-22","2025-02-04"
"O0088","C651","Gym","GreenJuice","2","80000","0","Tidak","1","15000","0.0","80000.0","0","subscription","2024-12-12",NULL,NULL,NULL,NULL,"Email Camp","191","2025-01-22","2025-03-04"
"O0089","C422","GoFood","TropicalCleanse","2","90000","0","FreeOngkir","0","5000","0.0","90000.0","1","subscription","2024-11-19",NULL,NULL,"4","Sesuai deskripsi","IG Ads","362","2025-01-23","2025-03-30"
"O0090","C414","GrabFood","BerryBoost","3","135000","0","FreeOngkir","0","20000","0.0","135000.0","0","none","2024-12-24",NULL,NULL,NULL,NULL,"GoFood","332","2025-01-23","2025-03-07"
"O0091","C641","GrabFood","BerryBoost","2","90000","0","FreeOngkir","1","20000","0.0","90000.0","1","subscription","2024-11-02",NULL,NULL,"5","Puas banget!","Google Sea","210","2025-01-23","2025-02-26"
"O0092","C125","Gym","TropicalCleanse","1","45000","0","Diskon20%","0","5000","9000.0","36000.0","1","discount","2024-11-24",NULL,NULL,NULL,NULL,"Email Camp","82","2025-01-23","2025-01-04"
"O0093","C231","GoFood","BerryBoost","3","105000","0","Tidak","0","15000","0.0","105000.0","1","discount","2024-11-07",NULL,NULL,NULL,NULL,"IG Ads","275","2025-01-24","2025-01-15"
"O0094","C426","Gym","BerryBoost","2","90000","0","FreeOngkir","0","10000","0.0","90000.0","0","none","2024-11-25",NULL,NULL,NULL,NULL,"GoFood","142","2025-01-24","2025-03-03"
"O0095","C072","GrabFood","GreenJuice","2","90000","0","FreeOngkir","1","20000","0.0","90000.0","0","discount","2024-12-18",NULL,NULL,NULL,NULL,"Google Sea","182","2025-01-24","2025-02-05"
"O0096","C153","GoFood","GreenJuice","2","90000","0","Diskon10%","1","10000","9000.0","81000.0","1","subscription","2024-11-22",NULL,NULL,NULL,NULL,"Email Camp","442","2025-01-24","2025-02-27"
"O0097","C245","Website","GreenJuice","1","40000","0","Tidak","1","20000","0.0","40000.0","0","subscription","2024-12-24",NULL,NULL,NULL,NULL,"IG Ads","452","2025-01-25","2025-03-15"
"O0098","C680","Gym","GreenJuice","1","35000","0","Diskon20%","1","20000","7000.0","28000.0","0","discount","2024-12-24",NULL,NULL,NULL,NULL,"GoFood","191","2025-01-25","2025-03-25"
"O0099","C103","Gym","BerryBoost","3","105000","0","Tidak","0","20000","0.0","105000.0","0","subscription","2024-11-12",NULL,NULL,"3","Terlambat datang","Google Sea","182","2025-01-25","2025-03-09"
"O0100","C272","GoFood","GreenJuice","3","105000","0","Tidak","1","20000","0.0","105000.0","0","none","2024-11-13","CMP0030","Botol bocor",NULL,NULL,"Email Camp","494","2025-01-25","2025-02-13"
"O0101","C325","GrabFood","GreenJuice","3","105000","0","FreeOngkir","0","15000","0.0","105000.0","1","subscription","2024-12-27",NULL,NULL,NULL,NULL,"IG Ads","303","2025-01-26","2025-03-22"
"O0102","C233","GoFood","BerryBoost","3","135000","0","Diskon10%","0","5000","13500.0","121500.0","1","none","2024-12-18",NULL,NULL,NULL,NULL,"GoFood","115","2025-01-26","2025-01-12"
"O0103","C048","GrabFood","GreenJuice","2","80000","0","FreeOngkir","0","10000","0.0","80000.0","1","none","2024-11-18",NULL,NULL,"5","Seger pol!","Google Sea","166","2025-01-26","2025-02-11"
"O0104","C175","Website","GreenJuice","3","135000","0","FreeTrial","0","20000","0.0","135000.0","1","discount","2024-11-15",NULL,NULL,NULL,NULL,"Email Camp","372","2025-01-26","2025-01-23"
"O0105","C654","GoFood","TropicalCleanse","1","40000","0","Tidak","0","20000","0.0","40000.0","0","discount","2024-11-15",NULL,NULL,NULL,NULL,"IG Ads","139","2025-01-27","2025-02-02"
"O0106","C354","Website","GreenJuice","3","120000","0","Diskon10%","1","20000","12000.0","108000.0","0","discount","2024-11-11",NULL,NULL,NULL,NULL,"GoFood","125","2025-01-27","2025-03-17"
"O0107","C110","Website","GreenJuice","3","120000","1","FreeOngkir","1","20000","0.0","120000.0","0","discount","2024-11-25",NULL,NULL,NULL,NULL,"Google Sea","496","2025-01-27","2025-01-31"
"O0108","C282","GoFood","TropicalCleanse","3","105000","0","Tidak","1","15000","0.0","105000.0","0","subscription","2024-11-13",NULL,NULL,NULL,NULL,"Email Camp","366","2025-01-27","2025-01-02"
"O0109","C236","GrabFood","BerryBoost","3","105000","0","Tidak","1","10000","0.0","105000.0","0","subscription","2024-11-14",NULL,NULL,NULL,NULL,"IG Ads","385","2025-01-28","2025-03-19"
"O0110","C644","Gym","TropicalCleanse","1","40000","0","FreeOngkir","0","10000","0.0","40000.0","0","subscription","2024-12-13",NULL,NULL,NULL,NULL,"GoFood","75","2025-01-28","2025-01-13"
"O0111","C093","Website","GreenJuice","1","35000","0","Diskon20%","1","15000","7000.0","28000.0","0","subscription","2024-12-24",NULL,NULL,NULL,NULL,"Google Sea","169","2025-01-28","2025-02-07"
"O0112","C169","Gym","GreenJuice","2","90000","0","Tidak","0","5000","0.0","90000.0","0","none","2024-11-11",NULL,NULL,NULL,NULL,"Email Camp","108","2025-01-28","2025-02-02"
"O0113","C145","GrabFood","TropicalCleanse","3","120000","1","Tidak","0","20000","0.0","120000.0","0","none","2024-11-27",NULL,NULL,"5","Enak dan segar!","IG Ads","385","2025-01-29","2025-01-29"
"O0114","C015","GoFood","GreenJuice","2","90000","0","FreeOngkir","0","15000","0.0","90000.0","1","discount","2024-12-20",NULL,NULL,NULL,NULL,"GoFood","69","2025-01-29","2025-02-03"
"O0115","C111","Website","BerryBoost","3","135000","0","Diskon20%","0","20000","27000.0","108000.0","0","none","2024-11-26",NULL,NULL,NULL,NULL,"Google Sea","144","2025-01-29","2025-03-28"
"O0116","C310","GoFood","BerryBoost","1","35000","0","Diskon10%","0","10000","3500.0","31500.0","0","subscription","2024-12-31",NULL,NULL,"5","Kurang manis","Email Camp","400","2025-01-29","2025-03-25"
"O0117","C398","Website","TropicalCleanse","3","135000","0","Tidak","0","20000","0.0","135000.0","0","subscription","2024-11-19",NULL,NULL,"2","Rekomended!","IG Ads","309","2025-01-30","2025-02-28"
"O0118","C671","GrabFood","TropicalCleanse","2","80000","0","Diskon10%","0","10000","8000.0","72000.0","1","subscription","2024-12-22",NULL,NULL,NULL,NULL,"GoFood","490","2025-01-30","2025-01-13"
"O0119","C372","Gym","GreenJuice","3","135000","0","Diskon10%","0","5000","13500.0","121500.0","1","none","2024-12-06",NULL,NULL,"4","Puas banget!","Google Sea","275","2025-01-30","2025-01-13"
"O0120","C466","GoFood","TropicalCleanse","3","135000","1","FreeOngkir","0","10000","0.0","135000.0","0","none","2024-11-07",NULL,NULL,"3","Kurang manis","Email Camp","346","2025-01-30","2025-01-12"
"O0121","C579","Website","TropicalCleanse","1","45000","0","Tidak","0","10000","0.0","45000.0","0","discount","2024-12-29",NULL,NULL,NULL,NULL,"IG Ads","212","2025-01-31","2025-01-27"
"O0122","C611","Website","BerryBoost","1","45000","0","FreeOngkir","0","5000","0.0","45000.0","0","none","2024-12-02",NULL,NULL,NULL,NULL,"GoFood","71","2025-01-31","2025-01-01"
"O0123","C135","Website","BerryBoost","3","120000","0","FreeOngkir","0","20000","0.0","120000.0","1","subscription","2024-11-19",NULL,NULL,"4","Rekomended!","Google Sea","333","2025-01-31","2025-01-02"
"O0124","C539","GrabFood","GreenJuice","2","80000","0","FreeOngkir","0","5000","0.0","80000.0","0","discount","2024-11-08",NULL,NULL,NULL,NULL,"Email Camp","417","2025-01-31","2025-01-15"
"O0125","C675","Website","TropicalCleanse","1","35000","1","Tidak","0","5000","0.0","35000.0","0","subscription","2024-11-11",NULL,NULL,NULL,NULL,"IG Ads","166","2025-02-01","2025-03-08"
"O0126","C503","Website","BerryBoost","2","90000","0","FreeOngkir","0","15000","0.0","90000.0","0","discount","2024-11-29",NULL,NULL,NULL,NULL,"GoFood","81","2025-02-01","2025-02-26"
"O0127","C391","GoFood","GreenJuice","3","135000","0","Tidak","0","10000","0.0","135000.0","1","none","2024-11-16",NULL,NULL,NULL,NULL,"Google Sea","415","2025-02-01","2025-03-18"
"O0128","C441","GrabFood","GreenJuice","2","80000","0","Tidak","0","15000","0.0","80000.0","1","discount","2024-12-28",NULL,NULL,NULL,NULL,"Email Camp","182","2025-02-01","2025-02-27"
"O0129","C682","Website","BerryBoost","3","120000","0","Tidak","0","5000","0.0","120000.0","1","discount","2024-11-12",NULL,NULL,NULL,NULL,"IG Ads","181","2025-02-02","2025-02-02"
"O0130","C382","GoFood","TropicalCleanse","3","135000","0","FreeOngkir","0","20000","0.0","135000.0","0","discount","2024-11-24",NULL,NULL,NULL,NULL,"GoFood","58","2025-02-02","2025-01-17"
"O0131","C053","GoFood","GreenJuice","1","45000","0","FreeOngkir","0","5000","0.0","45000.0","1","discount","2024-12-04",NULL,NULL,NULL,NULL,"Google Sea","397","2025-02-02","2025-02-06"
"O0132","C359","Website","GreenJuice","3","105000","0","Tidak","1","5000","0.0","105000.0","0","subscription","2024-12-11",NULL,NULL,"1","Kurang manis","Email Camp","482","2025-02-02","2025-03-13"
"O0133","C624","GrabFood","GreenJuice","1","35000","0","Tidak","1","15000","0.0","35000.0","1","subscription","2024-12-31",NULL,NULL,NULL,NULL,"IG Ads","489","2025-02-03","2025-03-26"
"O0134","C007","GrabFood","TropicalCleanse","3","120000","0","Tidak","1","5000","0.0","120000.0","0","discount","2024-12-10",NULL,NULL,NULL,NULL,"GoFood","484","2025-02-03","2025-01-24"
"O0135","C544","Website","GreenJuice","2","70000","0","Tidak","1","5000","0.0","70000.0","0","none","2024-12-10",NULL,NULL,"3","Seger pol!","Google Sea","230","2025-02-03","2025-01-28"
"O0136","C054","Website","TropicalCleanse","1","45000","0","Diskon10%","0","20000","4500.0","40500.0","0","discount","2024-12-15",NULL,NULL,NULL,NULL,"Email Camp","326","2025-02-03","2025-01-20"
"O0137","C425","Website","TropicalCleanse","1","40000","0","FreeOngkir","0","20000","0.0","40000.0","0","none","2024-12-28",NULL,NULL,NULL,NULL,"IG Ads","417","2025-02-04","2025-02-04"
